,Order_ID,Product,Quantity_Ordered,Price_Each,Order_Date,Purchase_Address
0,152499,Trasher hoodie,2,600,08/24/19 20:00,"20 AVN Ville nouvelle, Marrakech 40000, Morroco"
1,152500,Element by Nigel Cabourn Alder 4 Jacket,1,3400,08/23/19 12:26,"4 AVN Essaada, Salé 11000, Morroco"
2,152501,Element ‑ Visserie Allen 1,1,82.95,08/09/19 15:14,"42 AVN El Siaghin, Oujda 60000, Morroco"
3,152502,Element by Nigel Cabourn Alder 4 Jacket,1,3400,08/25/19 16:04,"159 AVN Abbess Ben Abdelmoutalib, Essaouira 44000, Morroco"
4,152503,Element ‑ Visserie Allen 1,1,82.95,08/17/19 21:55,"173 AVN Hassan II, Salé 11000, Morroco"
5,152504,T-Shirt Colorblock vans,1,189.99,08/09/19 18:07,"118 AVN Medina, Tanger 90000, Morroco"
6,152505,Trasher hoodie,1,600,08/06/19 08:43,"151 AVN Essaada, Oujda 60000, Morroco"
7,152506,Polished Silver Standard Bullet Trucks,1,299.99,08/09/19 14:07,"160 AVN Hassan II, Essaouira 44000, Morroco"
8,152507,All In One Skate,1,88.95,08/30/19 07:36,"116 AVN Mohammed V, Oujda 60000, Morroco"
9,152508,All In One Skate,1,88.95,08/22/19 17:10,"151 AVN Abbess Ben Abdelmoutalib, Tetouan 93000, Morroco"
10,152509,Flat Bar,1,1899.99,08/19/19 20:01,"19 AVN El Siaghin, Rabat 10000, Morroco"
11,152510,Nike Jacob Janowski,1,778.99,08/13/19 10:29,"78 AVN Elfarah, Oujda 60000, Morroco"
12,152511,Polished Silver Standard Bullet Trucks,1,299.99,08/06/19 20:51,"142 AVN Elfarah, Salé 11000, Morroco"
13,152512,All In One Skate,1,88.95,08/10/19 17:05,"176 AVN Medina, Rabat 10000, Morroco"
14,152513,Element ‑ Visserie Allen 1,1,82.95,08/10/19 16:48,"196 AVN Ville nouvelle, Salé 11000, Morroco"
15,152514,Steackers,1,24.99,08/09/19 05:02,"47 AVN Ville nouvelle, Rabat 10000, Morroco"
16,152515,Grip,1,26.84,08/24/19 07:49,"53 AVN Abbess Ben Abdelmoutalib, Marrakech 40000, Morroco"
17,152516,Nike Jacob Janowski,1,778.99,08/11/19 08:22,"101 AVN Essaada, Essaouira 44000, Morroco"
18,152517,Steackers,1,24.99,08/29/19 23:13,"87 AVN El Siaghin, Rabat 10000, Morroco"
19,152518,T-Shirt Colorblock vans,1,189.99,08/06/19 08:55,"46 AVN Essaada, CasaBlanca 20000, Morroco"
20,152519,Supreme Cap,1,79.99,08/08/19 19:35,"50 AVN Abbess Ben Abdelmoutalib, Salé 11000, Morroco"
21,152520,Grip,1,26.84,08/18/19 10:42,"22 AVN Mohammed V, Salé 11000, Morroco"
22,152521,T-Shirt Colorblock vans,1,189.99,08/14/19 08:32,"103 AVN El Siaghin, Essaouira 44000, Morroco"
23,152522,T-Shirt Colorblock vans,1,189.99,08/09/19 12:26,"167 AVN Hassan II, CasaBlanca 20000, Morroco"
24,152523,Grip,1,26.84,08/28/19 07:20,"144 AVN Essaada, ElJadida 24000, Morroco"
25,152524,Element Complete Board,1,1200,08/20/19 15:17,"163 AVN Ennasr, Marrakech 40000, Morroco"
26,152525,All In One Skate,1,88.95,08/04/19 18:00,"69 AVN Elfarah, Essaouira 44000, Morroco"
27,152526,Element ‑ Visserie Allen 1,1,82.95,08/04/19 15:22,"90 AVN Ennasr, Essaouira 44000, Morroco"
28,152527,Grip,1,26.84,08/07/19 07:29,"199 AVN Mohammed VI, CasaBlanca 20000, Morroco"
29,152528,Nike Nyjah 2,1,758.99,08/15/19 14:23,"191 AVN El Siaghin, CasaBlanca 20000, Morroco"
30,152529,All In One Skate,1,88.95,08/27/19 08:45,"2 AVN El Siaghin, CasaBlanca 20000, Morroco"
31,152530,Steackers,1,24.99,08/24/19 18:38,"75 AVN Ennasr, Salé 11000, Morroco"
32,152531,55mm Sparx 99a Ricta Wheels,1,219.99,08/24/19 23:54,"123 AVN Essaada, Essaouira 44000, Morroco"
33,152532,Element ‑ Visserie Allen 1,1,82.95,08/28/19 23:43,"7 AVN Abbess Ben Abdelmoutalib, CasaBlanca 20000, Morroco"
34,152533,Grip,1,26.84,08/05/19 19:22,"162 AVN Essaada, Salé 11000, Morroco"
35,152534,Element ‑ Visserie Allen 1,1,82.95,08/31/19 15:57,"75 AVN Ennasr, CasaBlanca 20000, Morroco"
36,152535,Element Complete Board,1,1200,08/31/19 13:14,"58 AVN Abbess Ben Abdelmoutalib, CasaBlanca 20000, Morroco"
37,152536,Supreme Cap,1,79.99,08/25/19 21:00,"24 AVN Ennasr, Salé 11000, Morroco"
38,152537,Supreme Cap,1,79.99,08/23/19 04:50,"196 AVN Abbess Ben Abdelmoutalib, Tanger 90000, Morroco"
39,152538,Nike Nyjah 2,1,758.99,08/12/19 22:46,"23 AVN El Siaghin, Oujda 60000, Morroco"
40,152539,All In One Skate,1,88.95,08/12/19 10:31,"76 AVN Elfarah, Oujda 60000, Morroco"
41,152540,Flip Complete Board,1,1400,08/04/19 06:14,"199 AVN Ville nouvelle, Rabat 10000, Morroco"
42,152541,Supreme Cap,1,79.99,08/23/19 13:19,"102 AVN Medina, Essaouira 44000, Morroco"
43,152542,All In One Skate,1,88.95,08/13/19 14:28,"142 AVN Mohammed VI, Fes 30000, Morroco"
44,152543,T-Shirt Colorblock vans,1,189.99,08/12/19 14:01,"78 AVN Mohammed VI, Salé 11000, Morroco"
45,152544,Steackers,1,24.99,08/21/19 17:24,"72 AVN Ville nouvelle, CasaBlanca 20000, Morroco"
46,152545,Flat Bar,1,1899.99,08/06/19 22:20,"178 AVN Ville nouvelle, Essaouira 44000, Morroco"
47,152546,Flip Complete Board,1,1400,08/01/19 13:12,"128 AVN Essaada, CasaBlanca 20000, Morroco"
48,152547,Flip Complete Board,1,1400,08/10/19 18:42,"98 AVN Medina, Oujda 60000, Morroco"
49,152548,All In One Skate,1,88.95,08/05/19 09:32,"143 AVN El Siaghin, Essaouira 44000, Morroco"
50,152549,Polished Silver Standard Bullet Trucks,1,299.99,08/10/19 17:25,"93 AVN Elfarah, Essaouira 44000, Morroco"
51,152550,All In One Skate,1,88.95,08/14/19 12:46,"109 AVN Ennasr, Salé 11000, Morroco"
52,152551,Black Standard Bullet Trucks,1,300,08/18/19 17:50,"28 AVN Ennasr, Salé 11000, Morroco"
53,152552,Element ‑ Visserie Allen 1,1,82.95,08/05/19 14:03,"77 AVN Ville nouvelle, Oujda 60000, Morroco"
54,152553,Steackers,1,24.99,08/25/19 21:23,"116 AVN Essaada, Rabat 10000, Morroco"
55,152554,55mm Sparx 99a Ricta Wheels,1,219.99,08/30/19 00:53,"166 AVN Hassan II, Salé 11000, Morroco"
56,152555,Element Complete Board,1,1200,08/15/19 10:51,"113 AVN Hassan II, Tanger 90000, Morroco"
57,152556,Element by Nigel Cabourn Alder 4 Jacket,1,3400,08/04/19 09:01,"75 AVN Abbess Ben Abdelmoutalib, CasaBlanca 20000, Morroco"
58,152557,T-Shirt Colorblock vans,1,189.99,08/27/19 14:17,"194 AVN Mohammed V, CasaBlanca 20000, Morroco"
59,152558,All In One Skate,1,88.95,08/31/19 23:55,"180 AVN Medina, CasaBlanca 20000, Morroco"
