,Order_ID,Product,Quantity_Ordered,Price_Each,Order_Date,Purchase_Address
0,158343,All In One Skate,1,88.95,12/15/19 19:56,"60 AVN Elfarah, Rabat 10000, Morroco"
1,158344,Supreme Cap,1,79.99,12/09/19 20:27,"109 AVN Elfarah, Oujda 60000, Morroco"
2,158345,Steackers,2,24.99,12/07/19 10:53,"33 AVN Mohammed V, Essaouira 44000, Morroco"
3,158346,"Mercer Flora Untamed 35"" Longboard",1,1200.0,12/27/19 11:39,"197 AVN Mohammed VI, Tanger 90000, Morroco"
4,158347,Steackers,1,24.99,12/05/19 13:51,"157 AVN El Siaghin, Essaouira 44000, Morroco"
5,158348,All In One Skate,1,88.95,12/11/19 08:57,"72 AVN Elfarah, Fes 30000, Morroco"
6,158349,Trasher hoodie,1,600.0,12/24/19 10:21,"99 AVN Mohammed VI, CasaBlanca 20000, Morroco"
7,158350,Supreme Cap,1,79.99,12/24/19 07:32,"100 AVN Mohammed V, CasaBlanca 20000, Morroco"
8,158351,55mm Sparx 99a Ricta Wheels,1,219.99,12/28/19 10:22,"105 AVN Elfarah, Rabat 10000, Morroco"
9,158352,Flat Bar,1,1899.99,12/17/19 11:39,"39 AVN Elfarah, Tanger 90000, Morroco"
10,158353,All In One Skate,1,88.95,12/29/19 17:49,"77 AVN Ennasr, Tanger 90000, Morroco"
11,158354,Flip Complete Board,1,1400.0,12/22/19 08:45,"97 AVN El Siaghin, Marrakech 40000, Morroco"
12,158354,All In One Skate,1,88.95,12/22/19 08:45,"97 AVN El Siaghin, Marrakech 40000, Morroco"
13,158355,Grip,1,26.84,12/23/19 13:36,"160 AVN Ennasr, CasaBlanca 20000, Morroco"
14,158356,Grip,1,26.84,12/16/19 19:09,"148 AVN Ennasr, Rabat 10000, Morroco"
15,158357,T-Shirt Colorblock vans,1,189.99,12/29/19 18:05,"60 AVN Ville nouvelle, Marrakech 40000, Morroco"
16,158358,Element by Nigel Cabourn Alder 4 Jacket,1,3400.0,12/19/19 17:31,"8 AVN Hassan II, Essaouira 44000, Morroco"
17,158359,Supreme Cap,1,79.99,12/28/19 11:49,"77 AVN Abbess Ben Abdelmoutalib, CasaBlanca 20000, Morroco"
18,158360,Grip,1,26.84,12/29/19 01:04,"88 AVN Hassan II, Rabat 10000, Morroco"
19,158361,Black Standard Bullet Trucks,1,300.0,12/23/19 22:00,"69 AVN Elfarah, Rabat 10000, Morroco"
20,158362,T-Shirt Colorblock vans,1,189.99,12/01/19 15:48,"84 AVN Ennasr, Essaouira 44000, Morroco"
21,158363,Steackers,1,24.99,12/05/19 20:59,"198 AVN Mohammed V, CasaBlanca 20000, Morroco"
22,158364,Grip,1,26.84,12/14/19 19:49,"85 AVN Ville nouvelle, CasaBlanca 20000, Morroco"
23,158365,Flip Complete Board,1,1400.0,12/01/19 21:32,"173 AVN El Siaghin, Essaouira 44000, Morroco"
24,158366,T-Shirt Colorblock vans,1,189.99,12/13/19 13:56,"38 AVN El Siaghin, Essaouira 44000, Morroco"
25,158367,Black Standard Bullet Trucks,1,300.0,12/31/19 09:24,"20 AVN Hassan II, Essaouira 44000, Morroco"
26,158368,Black Standard Bullet Trucks,1,300.0,12/17/19 00:25,"48 AVN Elfarah, Essaouira 44000, Morroco"
27,158369,Flat Bar,1,1899.99,12/10/19 19:04,"134 AVN Mohammed VI, CasaBlanca 20000, Morroco"
28,158370,Polished Silver Standard Bullet Trucks,1,299.99,12/27/19 23:59,"124 AVN Medina, Oujda 60000, Morroco"
29,158371,Nike Jacob Janowski,1,778.99,12/21/19 18:32,"52 AVN Essaada, Marrakech 40000, Morroco"
30,158372,Element ‑ Visserie Allen 1,1,82.95,12/10/19 00:51,"2 AVN Ennasr, Essaouira 44000, Morroco"
31,158373,Trasher hoodie,1,600.0,12/27/19 13:35,"147 AVN Elfarah, Tetouan 93000, Morroco"
32,158374,Trasher hoodie,1,600.0,12/12/19 20:40,"18 AVN Abbess Ben Abdelmoutalib, Salé 11000, Morroco"
33,158375,Black Standard Bullet Trucks,1,300.0,12/24/19 13:26,"105 AVN Mohammed V, Tanger 90000, Morroco"
34,158376,Grip,1,26.84,12/19/19 21:11,"29 AVN Ville nouvelle, Rabat 10000, Morroco"
35,158377,T-Shirt Colorblock vans,1,189.99,12/25/19 18:15,"71 AVN Hassan II, Salé 11000, Morroco"
36,158378,Black Standard Bullet Trucks,1,300.0,12/16/19 10:30,"75 AVN Mohammed V, Rabat 10000, Morroco"
37,158379,Grip,1,26.84,12/17/19 22:26,"154 AVN Elfarah, Tanger 90000, Morroco"
38,158380,All In One Skate,1,88.95,12/10/19 21:17,"93 AVN Mohammed VI, CasaBlanca 20000, Morroco"
39,158381,Grip,1,26.84,12/21/19 14:47,"48 AVN Elfarah, Fes 30000, Morroco"
40,158382,Grip,1,26.84,12/19/19 09:47,"29 AVN Abbess Ben Abdelmoutalib, CasaBlanca 20000, Morroco"
41,158383,T-Shirt Colorblock vans,1,189.99,12/22/19 22:56,"166 AVN Elfarah, Essaouira 44000, Morroco"
42,158384,55mm Sparx 99a Ricta Wheels,1,219.99,12/10/19 23:26,"75 AVN El Siaghin, Fes 30000, Morroco"
43,158385,Steackers,1,24.99,12/23/19 18:10,"64 AVN Hassan II, Tetouan 93000, Morroco"
44,158386,Steackers,1,24.99,12/25/19 19:18,"89 AVN Ville nouvelle, Salé 11000, Morroco"
45,158387,Element ‑ Visserie Allen 1,1,82.95,12/27/19 10:58,"83 AVN El Siaghin, Essaouira 44000, Morroco"
46,158388,Steackers,1,24.99,12/14/19 17:08,"123 AVN Ennasr, Essaouira 44000, Morroco"
47,158389,Element Complete Board,1,1200.0,12/22/19 18:43,"145 AVN Essaada, Tetouan 93000, Morroco"
48,158390,Steackers,1,24.99,12/24/19 11:14,"17 AVN Mohammed VI, ElJadida 24000, Morroco"
49,158391,Grip,1,26.84,12/27/19 17:29,"59 AVN Mohammed V, Fes 30000, Morroco"
50,158392,T-Shirt Colorblock vans,1,189.99,12/26/19 00:29,"111 AVN Elfarah, Fes 30000, Morroco"
51,,,,,,
52,158393,Flip Complete Board,1,1400,12/03/19 14:24,"121 AVN Mohammed VI, Essaouira 44000, Morroco"
53,158393,Black Standard Bullet Trucks,1,300,12/03/19 14:24,"121 AVN Mohammed VI, Essaouira 44000, Morroco"
