,Order_ID,Product,Quantity_Ordered,Price_Each,Order_Date,Purchase_Address
0,144863,Trasher hoodie,1,600,02/16/19 18:06,"118 AVN El Siaghin, Rabat 10000, Morroco"
1,144864,Supreme Cap,1,79.99,02/01/19 17:36,"143 AVN El Siaghin, Tanger 90000, Morroco"
2,144865,All In One Skate,1,88.95,02/02/19 21:10,"130 AVN Hassan II, Essaouira 44000, Morroco"
3,144866,Supreme Cap,1,79.99,02/22/19 10:33,"17 AVN Ville nouvelle, Fes 30000, Morroco"
4,144867,Trasher hoodie,1,600,02/12/19 14:14,"80 AVN Ville nouvelle, Essaouira 44000, Morroco"
5,144868,Element Complete Board,1,1200,02/18/19 07:34,"169 AVN Ennasr, Oujda 60000, Morroco"
6,144868,Supreme Cap,1,79.99,02/18/19 07:34,"169 AVN Ennasr, Oujda 60000, Morroco"
7,144869,All In One Skate,1,88.95,02/14/19 23:07,"108 AVN El Siaghin, Fes 30000, Morroco"
8,144870,T-Shirt Colorblock vans,1,189.99,02/21/19 12:32,"13 AVN Medina, Rabat 10000, Morroco"
9,144871,Supreme Cap,1,79.99,02/09/19 09:37,"124 AVN El Siaghin, Salé 11000, Morroco"
10,144872,All In One Skate,1,88.95,02/10/19 20:22,"157 AVN Ville nouvelle, Essaouira 44000, Morroco"
11,144873,Grip,1,26.84,02/23/19 00:52,"139 AVN El Siaghin, Rabat 10000, Morroco"
12,144874,Trasher hoodie,1,600,02/01/19 23:01,"59 AVN Mohammed VI, CasaBlanca 20000, Morroco"
13,144875,Element ‑ Visserie Allen 1,1,82.95,02/14/19 21:03,"174 AVN Elfarah, Rabat 10000, Morroco"
14,144876,All In One Skate,1,88.95,02/13/19 09:31,"72 AVN Essaada, Essaouira 44000, Morroco"
15,144877,All In One Skate,1,88.95,02/04/19 23:22,"21 AVN Medina, CasaBlanca 20000, Morroco"
16,144878,T-Shirt Colorblock vans,1,189.99,02/27/19 00:53,"72 AVN Mohammed V, Rabat 10000, Morroco"
17,144879,Nike Jacob Janowski,1,778.99,02/16/19 10:54,"156 AVN Essaada, ElJadida 24000, Morroco"
18,144880,Black Standard Bullet Trucks,1,300,02/24/19 19:38,"156 AVN Mohammed VI, Salé 11000, Morroco"
19,144881,All In One Skate,1,88.95,02/25/19 11:47,"101 AVN Abbess Ben Abdelmoutalib, Tanger 90000, Morroco"
20,144882,Flip Complete Board,1,1400,02/21/19 21:10,"114 AVN Mohammed VI, Essaouira 44000, Morroco"
21,144883,Flip Complete Board,1,1400,02/06/19 20:30,"192 AVN Hassan II, Essaouira 44000, Morroco"
22,144884,Supreme Cap,1,79.99,02/14/19 16:36,"7 AVN Abbess Ben Abdelmoutalib, Salé 11000, Morroco"
23,144885,Element ‑ Visserie Allen 1,1,82.95,02/18/19 15:43,"159 AVN Mohammed VI, CasaBlanca 20000, Morroco"
24,144886,T-Shirt Colorblock vans,1,189.99,02/09/19 18:16,"12 AVN Hassan II, Tanger 90000, Morroco"
25,144887,Steackers,1,24.99,02/05/19 19:19,"32 AVN Medina, Oujda 60000, Morroco"
26,144888,Supreme Cap,1,79.99,02/06/19 10:02,"94 AVN Essaada, CasaBlanca 20000, Morroco"
27,144889,Nike Nyjah 2,1,758.99,02/08/19 18:32,"11 AVN Elfarah, Salé 11000, Morroco"
28,144890,Supreme Cap,1,79.99,02/24/19 13:38,"75 AVN Ennasr, Tanger 90000, Morroco"
29,144890,Element ‑ Visserie Allen 1,1,82.95,02/24/19 13:38,"75 AVN Ennasr, Tanger 90000, Morroco"
30,144891,Black Standard Bullet Trucks,1,300,02/28/19 00:54,"95 AVN Ville nouvelle, Oujda 60000, Morroco"
31,144892,Black Standard Bullet Trucks,1,300,02/15/19 09:50,"187 AVN Ville nouvelle, CasaBlanca 20000, Morroco"
32,144893,Steackers,1,24.99,02/08/19 14:08,"86 AVN Ville nouvelle, Rabat 10000, Morroco"
33,144894,Flat Bar,1,1899.99,02/18/19 12:57,"177 AVN Elfarah, Fes 30000, Morroco"
34,144895,Grip,1,26.84,02/02/19 14:11,"32 AVN Abbess Ben Abdelmoutalib, CasaBlanca 20000, Morroco"
35,144896,Steackers,1,24.99,02/13/19 10:28,"189 AVN Ennasr, Essaouira 44000, Morroco"
36,144897,Element Complete Board,1,1200,02/23/19 18:22,"78 AVN Ennasr, Essaouira 44000, Morroco"
37,144897,Element ‑ Visserie Allen 1,1,82.95,02/23/19 18:22,"78 AVN Ennasr, Essaouira 44000, Morroco"
38,144898,Polished Silver Standard Bullet Trucks,1,299.99,02/16/19 08:21,"156 AVN Mohammed V, CasaBlanca 20000, Morroco"
39,144899,Grip,1,26.84,02/23/19 00:34,"180 AVN Abbess Ben Abdelmoutalib, Tanger 90000, Morroco"
