,Order_ID,Product,Quantity_Ordered,Price_Each,Order_Date,Purchase_Address
0,143253,Grip,1,26.84,01/24/19 17:49,"64 AVN Essaada, Fes 30000, Morroco"
1,143254,Supreme Cap,1,79.99,01/22/19 17:44,"88 AVN Hassan II, Rabat 10000, Morroco"
2,143255,Black Standard Bullet Trucks,1,300.0,01/16/19 21:25,"117 AVN Medina, Rabat 10000, Morroco"
3,143256,Supreme Cap,1,79.99,01/21/19 11:10,"64 AVN Mohammed V, CasaBlanca 20000, Morroco"
4,143257,Steackers,1,24.99,01/09/19 14:40,"32 AVN Medina, Essaouira 44000, Morroco"
5,143258,Steackers,1,24.99,01/09/19 20:47,"62 AVN Abbess Ben Abdelmoutalib, Essaouira 44000, Morroco"
6,143259,Grip,1,26.84,01/14/19 15:44,"39 AVN Abbess Ben Abdelmoutalib, Tetouan 93000, Morroco"
7,143260,Element ‑ Visserie Allen 1,1,82.95,01/21/19 23:30,"51 AVN Hassan II, Salé 11000, Morroco"
8,143261,Grip,1,26.84,01/25/19 10:46,"147 AVN Abbess Ben Abdelmoutalib, Tetouan 93000, Morroco"
9,143262,Element Complete Board,1,1200.0,01/15/19 08:10,"117 AVN El Siaghin, Essaouira 44000, Morroco"
10,143262,Element ‑ Visserie Allen 1,1,82.95,01/15/19 08:10,"117 AVN El Siaghin, Essaouira 44000, Morroco"
11,143263,Grip,1,26.84,01/05/19 18:32,"35 AVN Mohammed V, Fes 30000, Morroco"
12,143264,Grip,1,26.84,01/16/19 06:43,"61 AVN El Siaghin, CasaBlanca 20000, Morroco"
13,143265,Supreme Cap,1,79.99,01/10/19 12:57,"173 AVN Mohammed VI, Essaouira 44000, Morroco"
14,143266,Element ‑ Visserie Allen 1,1,82.95,01/17/19 14:30,"63 AVN Mohammed VI, Fes 30000, Morroco"
15,143267,Nike Nyjah 2,1,758.99,01/23/19 20:11,"70 AVN Hassan II, CasaBlanca 20000, Morroco"
16,143268,"Mercer Flora Untamed 35"" Longboard",1,1200.0,01/27/19 19:03,"195 AVN Ennasr, Tanger 90000, Morroco"
17,143269,T-Shirt Colorblock vans,1,189.99,01/16/19 16:42,"14 AVN Elfarah, Fes 30000, Morroco"
18,143270,Black Standard Bullet Trucks,1,300.0,01/15/19 13:50,"165 AVN Ville nouvelle, Rabat 10000, Morroco"
19,143271,Nike Jacob Janowski,1,778.99,01/15/19 19:38,"78 AVN Mohammed V, Fes 30000, Morroco"
20,143272,Nike Nyjah 2,1,758.99,01/20/19 13:25,"22 AVN Ville nouvelle, Salé 11000, Morroco"
21,143273,All In One Skate,1,88.95,01/26/19 22:11,"68 AVN Abbess Ben Abdelmoutalib, Tanger 90000, Morroco"
22,143274,Element by Nigel Cabourn Alder 4 Jacket,1,3400.0,01/11/19 08:01,"103 AVN Abbess Ben Abdelmoutalib, Oujda 60000, Morroco"
23,143275,All In One Skate,1,88.95,01/30/19 12:54,"191 AVN Abbess Ben Abdelmoutalib, Tetouan 93000, Morroco"
24,143276,Element ‑ Visserie Allen 1,1,82.95,01/04/19 12:25,"2 AVN Ennasr, Marrakech 40000, Morroco"
25,143277,"Mercer Flora Untamed 35"" Longboard",1,1200.0,01/23/19 04:36,"10 AVN Ville nouvelle, Rabat 10000, Morroco"
26,143277,Steackers,1,24.99,01/23/19 04:36,"10 AVN Ville nouvelle, Rabat 10000, Morroco"
27,143278,Steackers,1,24.99,01/12/19 13:45,"114 AVN Elfarah, Salé 11000, Morroco"
28,143279,T-Shirt Colorblock vans,1,189.99,01/10/19 19:49,"54 AVN El Siaghin, Salé 11000, Morroco"
29,143280,55mm Sparx 99a Ricta Wheels,1,219.99,01/19/19 13:00,"133 AVN Abbess Ben Abdelmoutalib, Fes 30000, Morroco"
30,143281,Grip,1,26.84,01/14/19 07:20,"11 AVN Abbess Ben Abdelmoutalib, Salé 11000, Morroco"
31,143282,Black Standard Bullet Trucks,1,300.0,01/04/19 12:14,"168 AVN Ville nouvelle, Fes 30000, Morroco"
32,143283,Nike Jacob Janowski,1,778.99,01/25/19 00:26,"176 AVN Abbess Ben Abdelmoutalib, Essaouira 44000, Morroco"
33,143284,Element ‑ Visserie Allen 1,1,82.95,01/18/19 22:43,"41 AVN Elfarah, Essaouira 44000, Morroco"
34,143285,Polished Silver Standard Bullet Trucks,1,299.99,01/04/19 12:26,"100 AVN Ville nouvelle, Essaouira 44000, Morroco"
35,143286,Element Complete Board,1,1200.0,01/06/19 22:20,"118 AVN Medina, Fes 30000, Morroco"
36,143286,Element ‑ Visserie Allen 1,1,82.95,01/06/19 22:20,"118 AVN Medina, Fes 30000, Morroco"
37,143287,Black Standard Bullet Trucks,1,300.0,01/31/19 14:19,"186 AVN Ville nouvelle, CasaBlanca 20000, Morroco"
38,143288,Supreme Cap,1,79.99,01/28/19 18:29,"120 AVN El Siaghin, Essaouira 44000, Morroco"
39,143289,Supreme Cap,1,79.99,01/29/19 20:45,"110 AVN Medina, Essaouira 44000, Morroco"
