,Order_ID,Product,Quantity_Ordered,Price_Each,Order_Date,Purchase_Address
0,151043,Black Standard Bullet Trucks,1,300,07/29/19 11:15,"38 AVN Ennasr, CasaBlanca 20000, Morroco"
1,151044,Supreme Cap,1,79.99,07/22/19 20:31,"90 AVN Ville nouvelle, Fes 30000, Morroco"
2,151045,Steackers,1,24.99,07/15/19 13:37,"40 AVN Ennasr, Essaouira 44000, Morroco"
3,151046,Element ‑ Visserie Allen 1,1,82.95,07/04/19 19:32,"61 AVN Essaada, Salé 11000, Morroco"
4,151047,Element Complete Board,1,1200,07/08/19 21:41,"149 AVN El Siaghin, Marrakech 40000, Morroco"
5,151048,Trasher hoodie,1,600,07/17/19 21:20,"48 AVN Elfarah, Essaouira 44000, Morroco"
6,151049,Supreme Cap,1,79.99,07/26/19 12:43,"164 AVN Elfarah, Fes 30000, Morroco"
7,151050,Grip,1,26.84,07/12/19 08:49,"126 AVN Mohammed V, CasaBlanca 20000, Morroco"
8,151051,Black Standard Bullet Trucks,1,300,07/10/19 15:53,"141 AVN Hassan II, Rabat 10000, Morroco"
9,151052,Nike Nyjah 2,1,758.99,07/13/19 19:12,"152 AVN Mohammed V, CasaBlanca 20000, Morroco"
10,151053,All In One Skate,1,88.95,07/08/19 20:17,"27 AVN Mohammed VI, Fes 30000, Morroco"
11,151054,Supreme Cap,1,79.99,07/22/19 16:23,"139 AVN Ville nouvelle, Tetouan 93000, Morroco"
12,151055,Nike Nyjah 2,1,758.99,07/01/19 08:44,"104 AVN Mohammed VI, CasaBlanca 20000, Morroco"
13,151056,Steackers,1,24.99,07/20/19 01:11,"99 AVN Medina, Marrakech 40000, Morroco"
14,151057,Element Complete Board,1,1200,07/04/19 08:35,"90 AVN El Siaghin, Fes 30000, Morroco"
15,151057,Element ‑ Visserie Allen 1,1,82.95,07/04/19 08:35,"90 AVN El Siaghin, Fes 30000, Morroco"
16,151058,Element ‑ Visserie Allen 1,1,82.95,07/27/19 15:55,"40 AVN El Siaghin, Essaouira 44000, Morroco"
17,151059,Flip Complete Board,1,1400,07/07/19 22:30,"63 AVN Essaada, Oujda 60000, Morroco"
18,151060,T-Shirt Colorblock vans,1,189.99,07/27/19 16:13,"170 AVN Elfarah, CasaBlanca 20000, Morroco"
19,151061,Supreme Cap,1,79.99,07/07/19 02:21,"13 AVN Elfarah, Marrakech 40000, Morroco"
20,151062,Grip,1,26.84,07/24/19 20:06,"138 AVN El Siaghin, Tanger 90000, Morroco"
21,151063,Nike Jacob Janowski,1,778.99,07/01/19 23:35,"123 AVN Medina, Tanger 90000, Morroco"
22,151064,Trasher hoodie,1,600,07/27/19 22:51,"166 AVN Hassan II, Essaouira 44000, Morroco"
23,151065,Element by Nigel Cabourn Alder 4 Jacket,1,3400,07/29/19 23:55,"137 AVN Mohammed VI, Rabat 10000, Morroco"
24,151066,Element ‑ Visserie Allen 1,1,82.95,07/10/19 08:41,"10 AVN Abbess Ben Abdelmoutalib, Rabat 10000, Morroco"
25,151067,Polished Silver Standard Bullet Trucks,1,299.99,07/16/19 09:34,"33 AVN Ennasr, CasaBlanca 20000, Morroco"
26,151068,Grip,1,26.84,07/30/19 09:52,"177 AVN Elfarah, Marrakech 40000, Morroco"
27,151069,All In One Skate,1,88.95,07/13/19 16:34,"198 AVN Mohammed V, Marrakech 40000, Morroco"
28,151070,T-Shirt Colorblock vans,1,189.99,07/24/19 09:03,"172 AVN Ennasr, Fes 30000, Morroco"
29,151071,Flip Complete Board,1,1400,07/22/19 14:52,"128 AVN Essaada, Marrakech 40000, Morroco"
30,151072,Steackers,1,24.99,07/04/19 07:19,"106 AVN Essaada, Salé 11000, Morroco"
31,151073,Element ‑ Visserie Allen 1,1,82.95,07/07/19 17:00,"24 AVN Mohammed VI, Marrakech 40000, Morroco"
32,151074,Black Standard Bullet Trucks,1,300,07/04/19 16:47,"106 AVN Mohammed VI, Essaouira 44000, Morroco"
33,151075,Supreme Cap,1,79.99,07/17/19 10:55,"79 AVN Abbess Ben Abdelmoutalib, CasaBlanca 20000, Morroco"
34,151076,Steackers,1,24.99,07/09/19 10:51,"101 AVN Mohammed VI, ElJadida 24000, Morroco"
35,151077,Flip Complete Board,1,1400,07/15/19 15:16,"168 AVN Hassan II, Rabat 10000, Morroco"
