,Order_ID,Product,Quantity_Ordered,Price_Each,Order_Date,Purchase_Address
0,149963,Grip,1,26.84,06/21/19 20:03,"135 AVN Mohammed V, Salé 11000, Morroco"
1,149964,Flip Complete Board,1,1400.0,06/04/19 22:56,"97 AVN Mohammed VI, Oujda 60000, Morroco"
2,149965,Nike Jacob Janowski,1,778.99,06/19/19 20:46,"68 AVN Abbess Ben Abdelmoutalib, Essaouira 44000, Morroco"
3,149966,Element Complete Board,1,1200.0,06/22/19 20:39,"102 AVN Hassan II, Tetouan 93000, Morroco"
4,149966,T-Shirt Colorblock vans,1,189.99,06/22/19 20:39,"102 AVN Hassan II, Tetouan 93000, Morroco"
5,149967,Nike Nyjah 2,1,758.99,06/09/19 08:51,"187 AVN Mohammed V, Fes 30000, Morroco"
6,149968,T-Shirt Colorblock vans,1,189.99,06/08/19 12:03,"72 AVN Elfarah, Salé 11000, Morroco"
7,149969,Element ‑ Visserie Allen 1,1,82.95,06/27/19 22:40,"39 AVN Hassan II, Oujda 60000, Morroco"
8,149970,55mm Sparx 99a Ricta Wheels,1,219.99,06/15/19 08:33,"185 AVN Ennasr, Tetouan 93000, Morroco"
9,149971,Element Complete Board,1,1200.0,06/30/19 15:19,"93 AVN Medina, Tetouan 93000, Morroco"
10,149972,All In One Skate,1,88.95,06/13/19 20:57,"48 AVN El Siaghin, Fes 30000, Morroco"
11,149973,Trasher hoodie,1,600.0,06/26/19 13:32,"69 AVN Ville nouvelle, Rabat 10000, Morroco"
12,149974,Nike Jacob Janowski,1,778.99,06/10/19 18:41,"126 AVN Ennasr, ElJadida 24000, Morroco"
13,149975,All In One Skate,1,88.95,06/30/19 04:54,"112 AVN Elfarah, Rabat 10000, Morroco"
14,149976,Element ‑ Visserie Allen 1,1,82.95,06/22/19 10:42,"1 AVN Abbess Ben Abdelmoutalib, Salé 11000, Morroco"
15,149977,Steackers,1,24.99,06/18/19 18:22,"56 AVN Ville nouvelle, Marrakech 40000, Morroco"
16,149978,All In One Skate,1,88.95,06/23/19 16:51,"136 AVN Hassan II, Rabat 10000, Morroco"
17,149979,Flat Bar,1,1899.99,06/08/19 21:08,"73 AVN Ennasr, Rabat 10000, Morroco"
18,149980,Grip,1,26.84,06/05/19 22:11,"110 AVN Ville nouvelle, Fes 30000, Morroco"
19,149981,Flat Bar,1,1899.99,06/13/19 19:35,"60 AVN Mohammed V, Essaouira 44000, Morroco"
20,149982,Steackers,1,24.99,06/10/19 17:45,"117 AVN El Siaghin, Essaouira 44000, Morroco"
21,149983,55mm Sparx 99a Ricta Wheels,1,219.99,06/17/19 20:57,"137 AVN Essaada, Tanger 90000, Morroco"
22,149984,Grip,1,26.84,06/06/19 08:10,"131 AVN Hassan II, Essaouira 44000, Morroco"
23,149985,Element ‑ Visserie Allen 1,1,82.95,06/01/19 09:56,"98 AVN Ville nouvelle, CasaBlanca 20000, Morroco"
24,149986,Grip,1,26.84,06/03/19 00:07,"7 AVN Mohammed V, Rabat 10000, Morroco"
25,149987,Steackers,2,24.99,06/11/19 23:33,"195 AVN Ennasr, Fes 30000, Morroco"
26,149988,55mm Sparx 99a Ricta Wheels,1,219.99,06/28/19 10:41,"16 AVN Mohammed V, Oujda 60000, Morroco"
27,149989,Grip,1,26.84,06/03/19 21:52,"64 AVN Elfarah, Fes 30000, Morroco"
28,149990,Grip,1,26.84,06/30/19 06:16,"183 AVN Elfarah, Marrakech 40000, Morroco"
29,149991,Nike Jacob Janowski,1,778.99,06/28/19 08:49,"79 AVN Abbess Ben Abdelmoutalib, CasaBlanca 20000, Morroco"
30,149992,Black Standard Bullet Trucks,1,300.0,06/23/19 19:38,"187 AVN Medina, Essaouira 44000, Morroco"
31,149993,Black Standard Bullet Trucks,1,300.0,06/23/19 15:07,"123 AVN El Siaghin, Tetouan 93000, Morroco"
32,149994,All In One Skate,1,88.95,06/03/19 10:50,"102 AVN Ennasr, Tanger 90000, Morroco"
33,149995,Steackers,1,24.99,06/16/19 01:40,"185 AVN Abbess Ben Abdelmoutalib, CasaBlanca 20000, Morroco"
34,,,,,,
35,149996,Supreme Cap,1,79.99,06/06/19 06:28,"2 AVN El Siaghin, Salé 11000, Morroco"
36,149997,All In One Skate,1,88.95,06/09/19 20:12,"185 AVN Mohammed VI, Salé 11000, Morroco"
37,149997,Grip,1,26.84,06/09/19 20:12,"185 AVN Mohammed VI, Salé 11000, Morroco"
