,Order_ID,Product,Quantity_Ordered,Price_Each,Order_Date,Purchase_Address
0,146421,Grip,1,26.84,03/28/19 00:34,"99 AVN Mohammed V, Oujda 60000, Morroco"
1,146422,T-Shirt Colorblock vans,1,189.99,03/19/19 13:49,"162 AVN Elfarah, Tetouan 93000, Morroco"
2,146423,T-Shirt Colorblock vans,1,189.99,03/11/19 12:13,"26 AVN Ennasr, Marrakech 40000, Morroco"
3,146424,Element Complete Board,1,1200.0,03/23/19 22:26,"31 AVN Abbess Ben Abdelmoutalib, Essaouira 44000, Morroco"
4,146425,Nike Jacob Janowski,1,778.99,03/02/19 10:29,"39 AVN Mohammed VI, Oujda 60000, Morroco"
5,146426,T-Shirt Colorblock vans,1,189.99,03/19/19 14:39,"193 AVN Hassan II, Rabat 10000, Morroco"
6,146427,Steackers,1,24.99,03/02/19 11:36,"121 AVN Mohammed V, Tanger 90000, Morroco"
7,146428,Nike Nyjah 2,1,758.99,03/11/19 18:04,"89 AVN Mohammed V, Essaouira 44000, Morroco"
8,146429,Steackers,1,24.99,03/15/19 10:08,"119 AVN Ennasr, Salé 11000, Morroco"
9,146430,T-Shirt Colorblock vans,1,189.99,03/17/19 18:34,"168 AVN Ennasr, Marrakech 40000, Morroco"
10,146431,Nike Nyjah 2,1,758.99,03/31/19 22:28,"166 AVN Ennasr, Salé 11000, Morroco"
11,146432,Element ‑ Visserie Allen 1,1,82.95,03/12/19 05:49,"79 AVN Abbess Ben Abdelmoutalib, Fes 30000, Morroco"
12,146433,Steackers,1,24.99,03/19/19 19:59,"138 AVN Elfarah, Rabat 10000, Morroco"
13,146434,Nike Nyjah 2,1,758.99,03/11/19 12:35,"51 AVN Ville nouvelle, Salé 11000, Morroco"
14,146435,Element by Nigel Cabourn Alder 4 Jacket,1,3400.0,03/23/19 15:28,"34 AVN Elfarah, CasaBlanca 20000, Morroco"
15,146436,Steackers,1,24.99,03/08/19 15:04,"21 AVN Hassan II, Oujda 60000, Morroco"
16,146437,Steackers,1,24.99,03/12/19 08:38,"74 AVN Medina, Salé 11000, Morroco"
17,146438,Flip Complete Board,1,1400.0,03/30/19 12:14,"105 AVN Mohammed V, Essaouira 44000, Morroco"
18,146439,Steackers,1,24.99,03/05/19 13:13,"161 AVN Hassan II, Rabat 10000, Morroco"
19,146440,Element ‑ Visserie Allen 1,1,82.95,03/14/19 08:30,"46 AVN Medina, Essaouira 44000, Morroco"
20,146441,Element Complete Board,1,1200.0,03/20/19 11:27,"29 AVN Medina, Salé 11000, Morroco"
21,146442,All In One Skate,1,88.95,03/04/19 12:07,"113 AVN Mohammed V, Essaouira 44000, Morroco"
22,146443,Nike Nyjah 2,1,758.99,03/27/19 07:58,"156 AVN Essaada, Essaouira 44000, Morroco"
23,146444,Steackers,1,24.99,03/19/19 13:36,"131 AVN El Siaghin, Fes 30000, Morroco"
24,146445,All In One Skate,1,88.95,03/11/19 20:04,"27 AVN Medina, Rabat 10000, Morroco"
25,146446,Element ‑ Visserie Allen 1,1,82.95,03/23/19 14:18,"171 AVN Medina, Salé 11000, Morroco"
26,146447,Grip,1,26.84,03/09/19 12:57,"83 AVN Mohammed VI, Rabat 10000, Morroco"
27,146448,Grip,1,26.84,03/04/19 19:56,"94 AVN Mohammed VI, Tanger 90000, Morroco"
28,146449,All In One Skate,1,88.95,03/22/19 15:28,"147 AVN Elfarah, Essaouira 44000, Morroco"
29,146450,All In One Skate,1,88.95,03/06/19 14:51,"141 AVN Elfarah, Fes 30000, Morroco"
30,146451,Supreme Cap,1,79.99,03/10/19 10:08,"34 AVN Essaada, Tetouan 93000, Morroco"
31,146451,Supreme Cap,1,79.99,03/10/19 10:08,"34 AVN Essaada, Tetouan 93000, Morroco"
32,146452,Oliveira Tin Toy Deck,1,800.0,03/22/19 09:35,"127 AVN Ville nouvelle, CasaBlanca 20000, Morroco"
33,146453,Steackers,1,24.99,03/22/19 13:30,"29 AVN Hassan II, Essaouira 44000, Morroco"
34,146454,All In One Skate,1,88.95,03/08/19 20:23,"36 AVN Abbess Ben Abdelmoutalib, Oujda 60000, Morroco"
35,146455,Nike Nyjah 2,1,758.99,03/09/19 23:20,"29 AVN Essaada, Essaouira 44000, Morroco"
36,146456,T-Shirt Colorblock vans,1,189.99,03/19/19 09:49,"130 AVN Essaada, Essaouira 44000, Morroco"
37,146457,Black Standard Bullet Trucks,1,300.0,03/23/19 11:13,"81 AVN Ville nouvelle, Tanger 90000, Morroco"
38,146458,Steackers,1,24.99,03/12/19 09:18,"179 AVN El Siaghin, Fes 30000, Morroco"
