,Order_ID,Product,Quantity_Ordered,Price_Each,Order_Date,Purchase_Address
0,148397,T-Shirt Colorblock vans,1,189.99,05/02/19 10:39,"53 AVN Medina, Essaouira 44000, Morroco"
1,148398,Grip,1,26.84,05/06/19 20:24,"86 AVN Abbess Ben Abdelmoutalib, CasaBlanca 20000, Morroco"
2,148399,Flat Bar,1,1899.99,05/11/19 15:17,"35 AVN Ville nouvelle, Rabat 10000, Morroco"
3,148400,Element ‑ Visserie Allen 1,1,82.95,05/14/19 13:19,"124 AVN Ville nouvelle, Salé 11000, Morroco"
4,148401,Supreme Cap,1,79.99,05/08/19 17:17,"22 AVN Abbess Ben Abdelmoutalib, CasaBlanca 20000, Morroco"
5,148402,Steackers,1,24.99,05/20/19 10:04,"194 AVN Mohammed V, Essaouira 44000, Morroco"
6,148403,Supreme Cap,1,79.99,05/10/19 21:08,"186 AVN Hassan II, Salé 11000, Morroco"
7,148404,Grip,1,26.84,05/05/19 21:00,"70 AVN Abbess Ben Abdelmoutalib, Tetouan 93000, Morroco"
8,148405,Black Standard Bullet Trucks,1,300.0,05/08/19 04:16,"152 AVN Abbess Ben Abdelmoutalib, Salé 11000, Morroco"
9,148406,Flat Bar,1,1899.99,05/16/19 13:19,"156 AVN Essaada, Salé 11000, Morroco"
10,148407,Grip,1,26.84,05/23/19 20:25,"57 AVN Medina, Fes 30000, Morroco"
11,148407,Flip Complete Board,1,1400.0,05/23/19 20:25,"57 AVN Medina, Fes 30000, Morroco"
12,148408,Steackers,1,24.99,05/03/19 00:26,"124 AVN Medina, CasaBlanca 20000, Morroco"
13,148409,Steackers,1,24.99,05/10/19 08:48,"71 AVN El Siaghin, Essaouira 44000, Morroco"
14,148410,Black Standard Bullet Trucks,1,300.0,05/08/19 14:24,"158 AVN Medina, Essaouira 44000, Morroco"
15,148411,T-Shirt Colorblock vans,1,189.99,05/23/19 07:46,"92 AVN Mohammed V, Salé 11000, Morroco"
