,Order_ID,Product,Quantity_Ordered,Price_Each,Order_Date,Purchase_Address
0,156133,Flip Complete Board,1,1400,11/23/19 15:44,"141 AVN Essaada, Tetouan 93000, Morroco"
1,156134,T-Shirt Colorblock vans,1,189.99,11/30/19 11:06,"155 AVN Elfarah, Tanger 90000, Morroco"
2,156135,Nike Jacob Janowski,1,778.99,11/13/19 21:11,"161 AVN Abbess Ben Abdelmoutalib, Essaouira 44000, Morroco"
3,156136,Supreme Cap,1,79.99,11/07/19 09:12,"175 AVN Hassan II, CasaBlanca 20000, Morroco"
4,156137,Grip,1,26.84,11/18/19 16:19,"80 AVN Ennasr, Salé 11000, Morroco"
5,156138,Element by Nigel Cabourn Alder 4 Jacket,1,3400,11/26/19 17:37,"14 AVN Hassan II, Essaouira 44000, Morroco"
6,156139,Supreme Cap,1,79.99,11/24/19 20:49,"180 AVN Ville nouvelle, CasaBlanca 20000, Morroco"
7,156140,Supreme Cap,1,79.99,11/17/19 14:17,"159 AVN Ville nouvelle, Oujda 60000, Morroco"
8,156141,Black Standard Bullet Trucks,1,300,11/03/19 18:04,"105 AVN Medina, Oujda 60000, Morroco"
9,156142,All In One Skate,1,88.95,11/15/19 13:41,"134 AVN Essaada, Salé 11000, Morroco"
10,156143,Black Standard Bullet Trucks,1,300,11/03/19 10:43,"198 AVN Hassan II, Fes 30000, Morroco"
11,156144,Element ‑ Visserie Allen 1,1,82.95,11/05/19 16:55,"39 AVN Ville nouvelle, Fes 30000, Morroco"
12,156145,All In One Skate,1,88.95,11/26/19 14:34,"56 AVN Abbess Ben Abdelmoutalib, Marrakech 40000, Morroco"
13,156146,Steackers,2,24.99,11/15/19 16:50,"96 AVN Mohammed VI, Salé 11000, Morroco"
14,156147,Trasher hoodie,1,600,11/04/19 12:31,"21 AVN Elfarah, Tanger 90000, Morroco"
15,156148,Supreme Cap,1,79.99,11/25/19 21:52,"48 AVN Medina, CasaBlanca 20000, Morroco"
16,156149,Trasher hoodie,1,600,11/20/19 21:27,"196 AVN Mohammed VI, Essaouira 44000, Morroco"
17,156150,Polished Silver Standard Bullet Trucks,1,299.99,11/20/19 17:08,"22 AVN Hassan II, Oujda 60000, Morroco"
18,156151,T-Shirt Colorblock vans,1,189.99,11/08/19 15:51,"36 AVN Mohammed V, Essaouira 44000, Morroco"
19,156152,Steackers,1,24.99,11/12/19 10:33,"25 AVN Elfarah, CasaBlanca 20000, Morroco"
20,156153,Polished Silver Standard Bullet Trucks,1,299.99,11/15/19 14:39,"163 AVN Elfarah, Oujda 60000, Morroco"
21,156154,Supreme Cap,1,79.99,11/04/19 14:06,"151 AVN Elfarah, Rabat 10000, Morroco"
22,156155,Flat Bar,1,1899.99,11/29/19 20:07,"169 AVN Ennasr, Marrakech 40000, Morroco"
23,156156,Black Standard Bullet Trucks,1,300,11/14/19 13:06,"80 AVN Medina, Tetouan 93000, Morroco"
24,156157,All In One Skate,1,88.95,11/10/19 17:43,"30 AVN Medina, Tanger 90000, Morroco"
25,156158,T-Shirt Colorblock vans,1,189.99,11/29/19 10:07,"50 AVN Hassan II, Salé 11000, Morroco"
26,156159,Black Standard Bullet Trucks,1,300,11/16/19 15:59,"28 AVN Mohammed V, Fes 30000, Morroco"
27,156160,Black Standard Bullet Trucks,1,300,11/06/19 19:26,"52 AVN Medina, Essaouira 44000, Morroco"
28,156161,All In One Skate,1,88.95,11/10/19 19:51,"123 AVN Elfarah, Tetouan 93000, Morroco"
29,156162,Grip,1,26.84,11/05/19 14:54,"133 AVN Ennasr, Marrakech 40000, Morroco"
30,156163,Grip,1,26.84,11/25/19 18:28,"77 AVN Hassan II, Marrakech 40000, Morroco"
31,156164,Element ‑ Visserie Allen 1,1,82.95,11/15/19 13:38,"126 AVN Mohammed VI, Oujda 60000, Morroco"
32,156165,Grip,2,26.84,11/19/19 18:34,"138 AVN Hassan II, CasaBlanca 20000, Morroco"
33,156166,Grip,1,26.84,11/21/19 09:12,"48 AVN Ennasr, Salé 11000, Morroco"
34,156167,Element ‑ Visserie Allen 1,1,82.95,11/17/19 23:59,"31 AVN Medina, Essaouira 44000, Morroco"
35,156168,Element ‑ Visserie Allen 1,1,82.95,11/13/19 15:46,"109 AVN Ennasr, Essaouira 44000, Morroco"
36,156169,T-Shirt Colorblock vans,1,189.99,11/04/19 14:34,"64 AVN Elfarah, Salé 11000, Morroco"
37,156170,Black Standard Bullet Trucks,1,300,11/18/19 18:45,"155 AVN Essaada, CasaBlanca 20000, Morroco"
38,156171,Grip,1,26.84,11/12/19 22:40,"165 AVN Ville nouvelle, Fes 30000, Morroco"
39,156172,Element ‑ Visserie Allen 1,1,82.95,11/17/19 18:09,"79 AVN Essaada, Essaouira 44000, Morroco"
40,156173,Element ‑ Visserie Allen 1,1,82.95,11/24/19 09:33,"165 AVN Abbess Ben Abdelmoutalib, Tanger 90000, Morroco"
41,156174,Element ‑ Visserie Allen 1,1,82.95,11/26/19 13:39,"65 AVN Hassan II, Rabat 10000, Morroco"
42,156175,T-Shirt Colorblock vans,1,189.99,11/01/19 15:08,"128 AVN Mohammed V, Essaouira 44000, Morroco"
43,156176,Element ‑ Visserie Allen 1,1,82.95,11/08/19 09:33,"99 AVN Ennasr, Salé 11000, Morroco"
44,156177,Steackers,1,24.99,11/10/19 12:03,"35 AVN Essaada, Rabat 10000, Morroco"
45,156178,"Santa Cruz Classic Dot 41"" Drop Through Longboard",1,1200.0,11/12/19 16:45,"107 AVN Elfarah, Essaouira 44000, Morroco"
46,156179,Grip,2,26.84,11/26/19 13:54,"194 AVN Abbess Ben Abdelmoutalib, Essaouira 44000, Morroco"
47,156180,Steackers,1,24.99,11/26/19 13:31,"141 AVN Ennasr, Tanger 90000, Morroco"
48,156181,Element ‑ Visserie Allen 1,1,82.95,11/21/19 13:21,"118 AVN Mohammed V, Fes 30000, Morroco"
49,156182,Black Standard Bullet Trucks,1,300,11/10/19 22:58,"125 AVN El Siaghin, Essaouira 44000, Morroco"
50,156183,Steackers,1,24.99,11/15/19 10:13,"192 AVN Mohammed VI, Oujda 60000, Morroco"
51,156184,Steackers,1,24.99,11/02/19 09:53,"164 AVN Ville nouvelle, Fes 30000, Morroco"
52,156185,Element ‑ Visserie Allen 1,1,82.95,11/21/19 09:21,"197 AVN El Siaghin, Tanger 90000, Morroco"
53,156186,Element ‑ Visserie Allen 1,1,82.95,11/23/19 22:11,"104 AVN Hassan II, Marrakech 40000, Morroco"
54,156187,Element ‑ Visserie Allen 1,1,82.95,11/06/19 20:20,"65 AVN Ennasr, Tanger 90000, Morroco"
55,156188,Supreme Cap,1,79.99,11/25/19 08:39,"121 AVN Hassan II, Marrakech 40000, Morroco"
56,156189,Supreme Cap,1,79.99,11/08/19 15:27,"39 AVN Ville nouvelle, Tetouan 93000, Morroco"
57,156190,Steackers,1,24.99,11/30/19 18:31,"6 AVN Abbess Ben Abdelmoutalib, Salé 11000, Morroco"
58,156191,Steackers,1,24.99,11/27/19 07:14,"139 AVN Essaada, Tetouan 93000, Morroco"
59,156192,All In One Skate,1,88.95,11/15/19 22:11,"96 AVN Abbess Ben Abdelmoutalib, Essaouira 44000, Morroco"
60,156193,All In One Skate,1,88.95,11/03/19 23:55,"122 AVN Abbess Ben Abdelmoutalib, Fes 30000, Morroco"
61,156194,Nike Jacob Janowski,1,778.99,11/24/19 07:06,"199 AVN El Siaghin, Essaouira 44000, Morroco"
62,156195,All In One Skate,1,88.95,11/24/19 16:00,"13 AVN Ville nouvelle, Oujda 60000, Morroco"
63,156196,Element ‑ Visserie Allen 1,1,82.95,11/07/19 22:54,"31 AVN Hassan II, Tanger 90000, Morroco"
64,156197,Nike Nyjah 2,1,758.99,11/20/19 15:31,"135 AVN Mohammed V, Essaouira 44000, Morroco"
65,156198,T-Shirt Colorblock vans,1,189.99,11/18/19 15:59,"191 AVN Ennasr, CasaBlanca 20000, Morroco"
