,Order_ID,Product,Quantity_Ordered,Price_Each,Order_Date,Purchase_Address
0,153671,Nike Jacob Janowski,1,778.99,09/16/19 15:03,"93 AVN Essaada, Fes 30000, Morroco"
1,153671,Polished Silver Standard Bullet Trucks,1,299.99,09/16/19 15:03,"93 AVN Essaada, Fes 30000, Morroco"
2,153672,Grip,1,26.84,09/18/19 16:30,"71 AVN Medina, Essaouira 44000, Morroco"
3,153673,Element ‑ Visserie Allen 1,1,82.95,09/27/19 16:59,"77 AVN Medina, Fes 30000, Morroco"
4,153674,Nike Jacob Janowski,1,778.99,09/09/19 14:30,"122 AVN Abbess Ben Abdelmoutalib, CasaBlanca 20000, Morroco"
5,153675,"Santa Cruz Classic Dot 41"" Drop Through Longboard",1,1200.0,09/18/19 19:20,"176 AVN Elfarah, Essaouira 44000, Morroco"
6,153676,T-Shirt Colorblock vans,1,189.99,09/07/19 14:53,"24 AVN Medina, Rabat 10000, Morroco"
7,153677,T-Shirt Colorblock vans,1,189.99,09/05/19 07:06,"189 AVN Ennasr, Tetouan 93000, Morroco"
8,153678,Grip,1,26.84,09/25/19 11:24,"200 AVN Medina, Rabat 10000, Morroco"
9,153679,All In One Skate,1,88.95,09/03/19 13:46,"18 AVN Ville nouvelle, Tanger 90000, Morroco"
10,153680,Supreme Cap,1,79.99,09/07/19 11:47,"77 AVN Mohammed VI, Rabat 10000, Morroco"
11,153681,Steackers,1,24.99,09/03/19 09:05,"133 AVN Essaada, Tanger 90000, Morroco"
12,153682,All In One Skate,1,88.95,09/25/19 13:52,"175 AVN Medina, Tetouan 93000, Morroco"
13,153683,All In One Skate,1,88.95,09/23/19 20:25,"7 AVN Hassan II, Tetouan 93000, Morroco"
14,153684,Grip,1,26.84,09/18/19 09:08,"118 AVN Medina, Essaouira 44000, Morroco"
15,,,,,,
16,153685,Element Complete Board,1,1200,09/26/19 23:08,"41 AVN Mohammed VI, Oujda 60000, Morroco"
17,153686,Grip,1,26.84,09/14/19 22:52,"187 AVN El Siaghin, Essaouira 44000, Morroco"
18,153687,Supreme Cap,1,79.99,09/19/19 18:04,"37 AVN Ville nouvelle, Marrakech 40000, Morroco"
19,153688,Supreme Cap,1,79.99,09/16/19 16:16,"62 AVN Mohammed VI, Essaouira 44000, Morroco"
20,153689,Supreme Cap,1,79.99,09/25/19 12:21,"114 AVN Ville nouvelle, Rabat 10000, Morroco"
21,153690,Supreme Cap,1,79.99,09/22/19 21:43,"137 AVN Ville nouvelle, Marrakech 40000, Morroco"
22,153691,Polished Silver Standard Bullet Trucks,1,299.99,09/20/19 13:33,"189 AVN Mohammed VI, Tanger 90000, Morroco"
23,153692,All In One Skate,1,88.95,09/15/19 23:20,"134 AVN Mohammed V, Rabat 10000, Morroco"
24,153693,Black Standard Bullet Trucks,1,300,09/03/19 11:43,"163 AVN Elfarah, Fes 30000, Morroco"
25,153694,Nike Nyjah 2,1,758.99,09/12/19 08:31,"165 AVN Essaada, Essaouira 44000, Morroco"
